,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,lat_ts,lon_ts,sog_ts,cog_ts,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
31,31,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976910.0,56.137418333333336,11.095794666666666,11.5,2.133333333333212,2020-01-02 15:55:10,232003642,2.971738878927519,-0.3059198003906692,174.9666666666668,-37.86955907356864,-0.0453790366239756,56.186847,11.08667,8.0,177.1,0.4799035848485875,0.5200964151514125,0.0738399916193618,11.5,0.0,1.6330174393938293,-0.5003158939393828,3.0537444145727477,2.987443537340991,10.0,-0.02986776055447582,0.1033333333332962,0.0,-0.05416344885297608
32,32,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976920.0,56.137805,11.095818,11.5,2.199999999999875,2020-01-02 15:55:20,232003642,2.9264109876473987,-0.3055772923925356,174.9909090909092,-37.516802901555,-0.113334737944216,56.186479727272726,11.086703636363636,7.818181818181818,177.1909090909091,0.4871705506240508,0.5128294493759491,0.0732170687511047,11.5,0.0,1.7949691490907953,-0.4050308509090796,3.054167524694443,2.942321999756209,10.0,-0.007266965775463374,0.06666666666666288,0.0,-0.04512153758478199
33,33,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976930.0,56.13848,11.09586111111111,11.5,2.188888888888812,2020-01-02 15:55:30,232003642,2.864081607538445,-0.3054711182905842,173.31111111111113,-37.45314842862594,0.335798454924845,56.186118,11.08675,7.8,175.5,0.4291555659482004,0.5708444340517995,0.0720907082504993,11.5,0.0,1.892252636363502,-0.2966362525253099,3.024849519178617,2.880325686228851,10.0,0.05801498467585042,-0.01111111111106311,0.0,-0.061996313527358016
34,34,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976940.0,56.139003333333335,11.095909166666669,11.5,2.3416666666665265,2020-01-02 15:55:40,232003642,2.811325199015709,-0.3057440151982135,173.9916666666668,-37.466495038495,0.0562776647291218,56.18576383333333,11.08679,7.8,176.33333333333334,0.4637124633133606,0.5362875366866393,0.0703111213860084,11.5,0.0,1.899999999999864,-0.4416666666666624,3.0367274543658027,2.8279018330646206,10.0,-0.03455689736516021,0.15277777777771462,0.0,-0.05242385316423048
35,35,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976950.0,56.1395388,11.0959556,11.5,2.3399999999998613,2020-01-02 15:55:50,232003642,2.7575588240963294,-0.3065660673400397,175.56000000000017,-37.68162930931218,-0.3499935725139047,56.185405,11.086812,7.9,177.9,0.5157373440963402,0.4842626559036598,0.0681448002259934,11.5,0.0,1.899999999999864,-0.4399999999999973,3.064100034801248,2.7745474265176777,10.0,-0.05202488078297951,-0.0016666666666651508,0.0,-0.0533544065469429
36,36,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976960.0,56.1400915,11.0959955,11.5,2.2299999999999045,2020-01-02 15:56:00,232003642,2.704107257108771,-0.3072664407178746,175.57909090909106,-37.50584430675503,-0.2895180073073181,56.18506863636364,11.086831090909092,7.809090909090909,177.8090909090909,0.5100172529855777,0.4899827470144223,0.067141709539656,11.5,0.0,1.8726375359998693,-0.357362464000035,3.064433234022083,2.72150853820813,10.0,0.005720091110762493,-0.1099999999999568,0.0,-0.053038888309547616
37,37,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976970.0,56.140632,11.096033333333333,11.5,2.366666666666561,2020-01-02 15:56:10,232003642,2.6481260976523995,-0.3071664360081373,173.9333333333334,-37.46552771325633,0.0553346975969505,56.184678,11.086872,7.8,176.3,0.4660927081881446,0.5339072918118555,0.0659164941888534,11.5,0.0,1.783209935999887,-0.583456730666674,3.0357093456354716,2.6658812892695853,10.0,0.043924544797433185,0.1366666666666565,0.0,-0.05562724893854476
38,38,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976980.0,56.1411628,11.0960752,11.5,2.5399999999999068,2020-01-02 15:56:20,232003642,2.596537670534329,-0.3073535602412392,173.7600000000001,-37.46263290462015,-0.0122300876110031,56.18435072727272,11.086908363636365,7.8,176.3,0.4723384540482122,0.5276615459517877,0.0643911135725208,11.5,0.0,1.674911675999893,-0.8650883240000138,3.032684108265349,2.6146651956793256,10.0,-0.006245745860067764,0.17333333333334577,0.0,-0.05121609359025969
39,39,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976990.0,56.14168911111111,11.096116666666669,11.5,2.599999999999909,2020-01-02 15:56:30,232003642,2.5412238220572543,-0.3079545426200102,175.20000000000005,-37.287769779826135,-0.4394803675188927,56.183957,11.086932,7.7,177.8,0.5219999790494565,0.4780000209505435,0.0628233543037556,11.5,0.0,1.518093299999887,-1.081906700000022,3.057816849494066,2.559815328126539,10.0,-0.04966152500124421,0.060000000000002274,0.0,-0.05484986755278687
40,40,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977000.0,56.14221425,11.096165,11.5,2.5583333333332234,2020-01-02 15:56:40,232003642,2.4888597776575443,-0.3075940755000925,171.7416666666668,-36.90315521108796,0.4565876539183265,56.183611166666665,11.086991166666666,7.533333333333333,174.3,0.4183539817950006,0.5816460182049994,0.0628100316687358,11.5,0.0,1.297092676888788,-1.2612406564444354,2.99745754619593,2.5077952683830307,10.0,0.10364599725445589,-0.041666666666685614,0.0,-0.052020059743508096
41,41,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977010.0,56.14274733333333,11.096215,11.5,2.4999999999998863,2020-01-02 15:56:50,232003642,2.4340139166586034,-0.3062279731038166,169.60000000000014,-36.96594777952972,1.0554212433323458,56.183232,11.087082,7.6,172.1,0.3528262265945969,0.647173773405403,0.0618186036612186,11.5,0.0,1.281748594444345,-1.2182514055555411,2.9600784113823853,2.45320185023553,10.0,0.06552775520040366,-0.05833333333333712,0.0,-0.05459341814750074
42,42,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977020.0,56.143260727272725,11.096256636363636,11.5,2.3909090909089628,2020-01-02 15:57:00,232003642,2.384291807975644,-0.3065291930827638,173.52727272727293,-36.89423128878129,0.1064391926462378,56.18291836363636,11.087114727272729,7.509090909090909,175.91818181818184,0.4589985285196839,0.5410014714803161,0.059784558340372,11.5,0.0,1.320963580807971,-1.0699455101009918,3.028622251097073,2.4039150508684237,10.0,-0.10617230192508698,-0.10909090909092356,0.0,-0.04928679936710623
43,43,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977030.0,56.143773,11.096288666666666,11.5,2.133333333333212,2020-01-02 15:57:10,232003642,2.3312266624319604,-0.3074963987022245,176.4666666666668,-37.10752628388646,-0.4711956024731966,56.182548,11.087118,7.6,178.6,0.5269524101494112,0.4730475898505888,0.0577938967025247,11.5,0.0,1.362466066666546,-0.770867266666666,3.079924353352663,2.3514191006386964,10.0,-0.06795388162972726,-0.2575757575757507,0.0,-0.052495950229727306
44,44,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977040.0,56.144337,11.0963372,11.5,1.9199999999999025,2020-01-02 15:57:20,232003642,2.27791560221944,-0.3086081341545358,177.13454545454556,-37.11286846806379,-0.5051904680581999,56.18222527272727,11.087133454545455,7.6,179.05454545454546,0.5339218612237444,0.4660781387762556,0.0564753730308973,11.5,0.0,1.427032832727149,-0.4929671672727531,3.091581037205376,2.2987254014564455,10.0,-0.006969451074333222,-0.21333333333330962,0.0,-0.052693699182250864
45,45,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977050.0,56.14487444444445,11.09637411111111,11.5,1.5777777777776691,2020-01-02 15:57:30,232003642,2.224424706936284,-0.3092267798486462,175.92222222222233,-37.104893807263615,0.0288992712883217,56.181873,11.087152,7.6,177.5,0.4817416991947749,0.5182583008052251,0.0555293589283275,11.5,0.0,1.4989711854544316,-0.0788065923232375,3.070422005202915,2.2458153259349123,10.0,0.05218016202896947,-0.3422222222222333,0.0,-0.05291007552153326
